model_key,num_base_ok_ft_fail,top_status,top_primary_cause,details_file,solution_file
ft_AC_antineighbor_humaneval_mistral_conc3,19,ineq:9,static_stdin_read:6,epoch1/learning_rate_1/results/ft_AC_antineighbor_humaneval_mistral_conc3_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_AC_antineighbor_humaneval_mistral_conc3_solutions.json
ft_A_half1_humaneval_mistral_conc20,19,compile_err:8,static_stdin_read:12,epoch1/learning_rate_1/results/ft_A_half1_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_A_half1_humaneval_mistral_conc20_solutions.json
ft_A_humaneval_mistral_conc20,19,ok:7,static_stdin_read:7,epoch1/learning_rate_1/results/ft_A_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_A_humaneval_mistral_conc20_solutions.json
ft_C_humaneval_mistral_conc3,19,compile_err:12,static_stdin_read:13,epoch1/learning_rate_1/results/ft_C_humaneval_mistral_conc3_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_C_humaneval_mistral_conc3_solutions.json
ft_ABC_dedup_BC_humaneval_mistral_conc20,18,ineq:7,static_stdin_read:6,epoch1/learning_rate_1/results/ft_ABC_dedup_BC_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_dedup_BC_humaneval_mistral_conc20_solutions.json
ft_AB_antineighbor_humaneval_mistral_conc20,18,compile_err:11,static_stdin_read:6,epoch1/learning_rate_1/results/ft_AB_antineighbor_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_AB_antineighbor_humaneval_mistral_conc20_solutions.json
ft_AC_shuffle_humaneval_mistral_conc3,18,compile_err:11,static_stdin_read:11,epoch1/learning_rate_1/results/ft_AC_shuffle_humaneval_mistral_conc3_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_AC_shuffle_humaneval_mistral_conc3_solutions.json
ft_ABC_source_stack_v2_humaneval_mistral_conc20,17,ineq:11,status_ineq:5,epoch1/learning_rate_1/results/ft_ABC_source_stack_v2_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_source_stack_v2_humaneval_mistral_conc20_solutions.json
ft_C_humaneval_mistral_conc20,17,compile_err:7,static_stdin_read:15,epoch1/learning_rate_1/results/ft_C_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_C_humaneval_mistral_conc20_solutions.json
ft_ABC_source_stack_v1_humaneval_mistral_conc20,16,ok:6,status_ok:5,epoch1/learning_rate_1/results/ft_ABC_source_stack_v1_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_source_stack_v1_humaneval_mistral_conc20_solutions.json
ft_AB_shuffle_humaneval_mistral_conc20,16,ok:5,static_stdin_read:7,epoch1/learning_rate_1/results/ft_AB_shuffle_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_AB_shuffle_humaneval_mistral_conc20_solutions.json
ft_AB_shuffle_humaneval_mistral_conc3,15,compile_err:11,static_stdin_read:9,epoch1/learning_rate_1/results/ft_AB_shuffle_humaneval_mistral_conc3_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_AB_shuffle_humaneval_mistral_conc3_solutions.json
ft_A_ep2_humaneval_mistral_conc20,15,compile_err:12,static_stdin_read:6,epoch2/learning_rate_1/results/ft_A_ep2_humaneval_mistral_conc20_evaluation_details.json,epoch2/learning_rate_1/results_qwen_lora/solutions/ft_A_ep2_humaneval_mistral_conc20_solutions.json
ft_B_humaneval_mistral_conc3,15,compile_err:9,status_compile_err:6,epoch1/learning_rate_1/results/ft_B_humaneval_mistral_conc3_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_B_humaneval_mistral_conc3_solutions.json
ft_ABC_source_burkardt_humaneval_mistral_conc20,14,ok:4,static_stdin_read:9,epoch1/learning_rate_1/results/ft_ABC_source_burkardt_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_source_burkardt_humaneval_mistral_conc20_solutions.json
ft_ABC_source_numerical_methods_humaneval_mistral_conc20,9,ok:4,static_stdin_read:4,epoch1/learning_rate_1/results/ft_ABC_source_numerical_methods_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_source_numerical_methods_humaneval_mistral_conc20_solutions.json
ft_ABC_source_fortran_lang_humaneval_mistral_conc20,8,runtime_err:3,static_stdin_read:3,epoch1/learning_rate_1/results/ft_ABC_source_fortran_lang_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_source_fortran_lang_humaneval_mistral_conc20_solutions.json
