task_id,group,base_status,a_status_archived,transition,base_error_family,a_error_family,prompt,base_error_excerpt,a_error_excerpt
28,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that concatenates a supplied array of strings into a single string.,,
29,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that filters a supplied array of strings for only those that start with a given prefix.,,
30,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that returns only positive numbers in the array.,,
31,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,"Write a Fortran90 program that returns true if a given number is prime, and false otherwise.",,
32,echec_persistant,ineq,compile_err,ineq -> compile_err,sortie_incorrecte,compilation_non_detaillee,Write a Fortran90 program that finds a zero of a polynomial given its coefficients in an array (with an even number of elements).,,
33,echec_persistant,compile_err,ineq,compile_err -> ineq,compilation_non_detaillee,sortie_incorrecte,Write a Fortran90 program that returns an array such that the elements at indices divisible by three are replaced by their sorted order while the other elements remain unchanged.,,
34,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that returns sorted unique elements in an array.,,
35,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that returns the maximum element in the array.,,
36,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that returns the number of times the digit 7 appears in integers less than n which are divisible by 11 or 13.,,
37,echec_persistant,ineq,compile_err,ineq -> compile_err,sortie_incorrecte,compilation_non_detaillee,Write a Fortran90 program that returns an array such that the elements at odd indices remain unchanged while the elements at even indices are sorted.,,
38,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that decodes a string encoded by cycling groups of three characters.,,
39,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,Write a Fortran90 program that returns the n-th number that is both a Fibonacci number and prime.,,
40,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that checks if in given array of integers, there are three distinct elements that sum to zero.",,
41,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that computes the number of collisions in a car race given the number of cars in each direction on a straight road.,,
42,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that returns an array with elements incremented by 1.,,
43,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that checks if in a given array of integers, there are two distinct elements that sum to zero.",,
44,echec_persistant,ineq,compile_err,ineq -> compile_err,sortie_incorrecte,compilation_non_detaillee,Write a Fortran90 program that changes the numerical base of an integer to a given base and returns the string representation.,,
45,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that computes the area of a triangle given the base length and height.,,
46,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,Write a Fortran90 program that efficiently computes the n-th element of the Fib4 sequence without using recursion.,,
47,regression,ok,compile_err,ok -> compile_err,aucune,compilation_non_detaillee,Write a Fortran90 program that returns the median of an array of numbers.,,
48,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that checks if a given string is a palindrome.,,
49,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that computes 2 raised to the power n modulo p.,,
50,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that takes as input a string encoded with the encode_shift function (which shifts every character by 5 in the alphabet) and returns the decoded string.,,
51,echec_persistant,ineq,ineq,ineq -> ineq,sortie_incorrecte,sortie_incorrecte,Write a Fortran90 program that takes a string and returns the string without vowels.,,
52,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that returns true if all numbers in the given array are below the specified threshold.,,
53,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that adds two numbers.,,
54,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,Write a Fortran90 program that checks if two words have the same characters.,,
55,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that returns the n-th Fibonacci number.,,
56,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that checks if in a given string of '<' and '>' every opening bracket has a corresponding closing bracket.,,
57,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that returns true if the array elements are monotonically increasing or decreasing.,,
58,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that returns sorted unique common elements for two arrays.,,
59,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,Write a Fortran90 program that returns the largest prime factor of a given number. Assume the number is greater than 1 and is not a prime.,,
60,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that sums numbers from 1 to n.,,
61,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that checks if every opening bracket in a given string of ( and ) has a corresponding closing bracket.,,
62,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,Write a Fortran90 program that computes the derivative of a polynomial given as an array of coefficients. The polynomial is represented as xs[0] + xs[1]*x + xs[2]*x^2 + ... and the result should be in the same form.,,
63,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that efficiently computes the n-th element of the FibFib number sequence defined by: fibfib(0)=0, fibfib(1)=0, fibfib(2)=1, and fibfib(n)=fibfib(n-1)+fibfib(n-2)+fibfib(n-3).",,
64,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that counts the number of vowels in a string. Vowels are 'a', 'e', 'i', 'o', 'u' (case insensitive) and 'y' is considered a vowel only when it is at the end of the word.",,
65,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that circularly shifts the digits of an integer x to the right by a given shift amount and returns the result as a string. If shift is greater than the number of digits, return the digits reversed.",,
66,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that takes a string and returns the sum of the ASCII codes of its uppercase characters.,,
67,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that, given a string representing the number of apples and oranges in a basket and an integer for the total number of fruits, returns the number of mangoes. The number of mangoes is calculated as total fruits minus the sum of apples and oranges.",,
68,regression,ok,compile_err,ok -> compile_err,aucune,compilation_non_detaillee,"Write a Fortran90 program that selects and returns a node from an array representing a tree branch. The node to pluck is the one with the smallest even value; if there are multiple, choose the one with the smallest index. Return the plucked node as an array [value, index]. If no even number exists or the array is empty, return an empty array.",,
69,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that finds the greatest integer greater than zero in an array that has a frequency greater than or equal to its own value. If no such integer exists, return -1.",,
70,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that given an array of integers, returns an array in strange order, where strange sorting means starting with the minimum value, then the maximum of the remaining integers, then minimum and so on.",,
71,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that given the lengths of the three sides of a triangle, returns the area rounded to 2 decimal points if the triangle is valid, otherwise returns -1.",,
72,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that returns true if the given array of integers is balanced (palindromic) and its sum is less than or equal to the given maximum weight, and false otherwise.",,
73,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,"Write a Fortran90 program that given an array of integers, finds the minimum number of elements that need to be changed to make the array palindromic.",,
74,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that accepts two arrays of strings and returns the array that has a total number of characters less than the other. If they have the same total number of characters, return the first array. If one of the arrays is empty, return an empty array.",,
75,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,Write a Fortran90 program that returns true if the given integer is the product of three prime numbers (with the number being less than 100) and false otherwise.,,
76,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,Write a Fortran90 program that returns true if a given integer x is a simple power of n and false otherwise.,,
77,regression,ok,compile_err,ok -> compile_err,aucune,compilation_non_detaillee,"Write a Fortran90 program that takes an integer and returns true if it is the cube of some integer, and false otherwise.",,
78,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that receives a hexadecimal string and counts the number of hexadecimal digits that are prime, considering the digits: 2, 3, 5, 7, B, D.",,
79,acquise,ineq,ok,ineq -> ok,sortie_incorrecte,aucune,Write a Fortran90 program that converts a decimal number to its binary representation with a prefix and suffix of 'db'.,,
80,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that checks if a given string is happy or not (a string is happy if its length is at least 3 and every 3 consecutive letters are distinct).,,
81,echec_persistant,compile_err,ineq,compile_err -> ineq,compilation_non_detaillee,sortie_incorrecte,Write a Fortran90 program that converts an array of GPA values to an array of letter grades based on a predefined grading table.,,
82,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that checks if the length of a given string is a prime number.,,
83,regression,ok,compile_err,ok -> compile_err,aucune,compilation_non_detaillee,Write a Fortran90 program that returns the count of n-digit positive integers that start or end with 1.,,
84,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,Write a Fortran90 program that computes the sum of the digits in the binary representation of a given integer N and returns that sum as a binary string.,,
85,regression,ok,compile_err,ok -> compile_err,aucune,compilation_non_detaillee,Write a Fortran90 program that sums the even elements of an array that are located at odd indices.,,
86,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that, given a string, returns an ordered version of it where each word's characters are sorted in ascending order while preserving the order of words and spaces.",,
87,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that, given a 2-dimensional ragged array of integers and an integer x, returns an array of coordinate tuples (row, column) where x is found. Coordinates must be sorted by row ascending and within each row by column descending.",,
88,regression,ok,runtime_err,ok -> runtime_err,aucune,runtime_non_detaillee,"Write a Fortran90 program that, given an array of non-negative integers, returns a sorted copy of the array. Sort in ascending order if the sum of the first and last elements is odd, otherwise sort in descending order.",,
89,acquise,ineq,ok,ineq -> ok,sortie_incorrecte,aucune,"Write a Fortran90 program that encrypts a given string by rotating its letters by 4 positions (i.e., shifting each letter by 4 positions in the ASCII order).",,
90,echec_persistant,compile_err,ineq,compile_err -> ineq,compilation_non_detaillee,sortie_incorrecte,Write a Fortran90 program that returns the 2nd smallest element of the given array of integers. Return None if there is no such element.,,
91,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,"Write a Fortran90 program that counts the number of boredoms in the given string of words. A boredom is a sentence that starts with the word 'I'. Sentences are delimited by '.', '?' or '!'.",,
92,echec_persistant,compile_err,ineq,compile_err -> ineq,compilation_non_detaillee,sortie_incorrecte,"Write a Fortran90 program that takes 3 numbers and returns true if one of the numbers is equal to the sum of the other two and all numbers are integers, otherwise returns false.",,
93,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,Write a Fortran90 program that takes a message and encodes it by swapping the case of all letters and replacing all vowels with the letter that appears 2 places ahead in the English alphabet. Assume only letters.,,
94,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that finds the largest prime number in the given array of integers and returns the sum of its digits.,,
95,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that given a dictionary returns true if all keys are strings in lower case or all keys are strings in upper case, otherwise returns false. The function should return false if the given dictionary is empty.",,
96,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that takes a non-negative integer and returns an array of prime numbers less than the given number.,,
97,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that takes two integers and returns the product of their unit digits.,,
98,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,Write a Fortran90 program that given a string counts the number of uppercase vowels in even indices.,,
99,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,"Write a Fortran90 program that takes a string representing a number and returns the closest integer to it. If the number is equidistant from two integers, round it away from zero.",,
100,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,"Write a Fortran90 program that, given a positive integer n, creates a pile (array) of n levels of stones. The first level has n stones and each subsequent level has the next odd number if n is odd or the next even number if n is even.",,
101,echec_persistant,runtime_err,compile_err,runtime_err -> compile_err,runtime_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that, given a string of words separated by commas or spaces, splits the string into individual words and returns an array of the words.",,
102,regression,ok,compile_err,ok -> compile_err,aucune,compilation_non_detaillee,"Write a Fortran90 program that takes two positive integers x and y and returns the largest even integer within the range [x, y] inclusive. If there is no such even number, return -1.",,
103,echec_persistant,ineq,ineq,ineq -> ineq,sortie_incorrecte,sortie_incorrecte,"Write a Fortran90 program that, given two positive integers n and m, computes the average of the integers from n to m (inclusive), rounds it to the nearest integer, and converts that number to its binary representation. If n is greater than m, return -1.",,
104,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,"Write a Fortran90 program that, given an array of positive integers, returns a sorted array (in increasing order) of all elements that do not contain any even digit.",,
105,echec_persistant,runtime_err,compile_err,runtime_err -> compile_err,runtime_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that, given an array of integers, sorts the integers that are between 1 and 9 inclusive, reverses the sorted array, and then replaces each digit with its corresponding name from ""One"", ""Two"", ""Three"", ""Four"", ""Five"", ""Six"", ""Seven"", ""Eight"", ""Nine"". Numbers outside the range 1 to 9 should be ignored.",,
106,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that, given a positive integer n, returns an array of size n where the value of the element at index i (starting from 1) is the factorial of i if i is even, and the sum of numbers from 1 to i if i is odd.",,
107,regression,ok,compile_err,ok -> compile_err,aucune,compilation_non_detaillee,"Write a Fortran90 program that, given a positive integer n, counts the number of even and odd integer palindromes within the range [1, n] inclusive, and returns the result as a pair (even_count, odd_count).",,
108,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that, given an array of integers, returns the count of elements whose sum of digits is greater than 0. For negative numbers, the first digit carries the sign.",,
109,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that, given an array of unique integers, determines if it is possible to obtain a non-decreasing sorted array by performing any number of right shift operations (cyclic shifts). Return True if possible, otherwise return False. If the array is empty, return True.",,
110,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that takes two arrays of numbers and determines whether it is possible to exchange elements between them to make the first array contain only even numbers.,,
111,echec_persistant,ineq,compile_err,ineq -> compile_err,sortie_incorrecte,compilation_non_detaillee,Write a Fortran90 program that takes a string representing space separated lowercase letters and returns a dictionary of the letter(s) with the highest repetition along with their counts.,,
112,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that takes two strings, deletes all characters in the first string that are equal to any character in the second string, and then checks if the resulting string is a palindrome, returning a tuple of the resulting string and a boolean.",,
113,echec_persistant,compile_err,ineq,compile_err -> ineq,compilation_non_detaillee,sortie_incorrecte,Write a Fortran90 program that takes an array of strings (each string consisting only of digits) and returns an array where each element is a string describing the number of odd digits in the corresponding input string.,,
114,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that takes an array of integers and finds the minimum sum of any non-empty sub-array.,,
115,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that takes a two-dimensional array representing a grid of wells and a bucket capacity, and returns the number of times the buckets need to be lowered to empty the wells.",,
116,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that takes an array of integers and sorts them according to the number of ones in their binary representation in ascending order; for numbers with the same number of ones, sort based on the decimal value.",,
117,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that takes a string and a natural number and returns an array of all words from the string that contain exactly n consonants, preserving their original order.",,
118,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that takes a word and finds the closest vowel that stands between two consonants from the right side of the word, excluding vowels at the beginning and ending; return an empty string if no such vowel exists.",,
119,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that takes an array of two strings, each consisting only of parentheses, and determines whether it is possible to concatenate the two strings in some order to form a balanced parentheses string.",,
120,regression,ok,compile_err,ok -> compile_err,aucune,compilation_non_detaillee,Write a Fortran90 program that returns a sorted array of length k with the maximum k numbers in the given array of integers.,,
121,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,Write a Fortran90 program that returns the sum of all odd elements at even positions in the given non-empty array of integers.,,
122,echec_persistant,runtime_err,compile_err,runtime_err -> compile_err,runtime_non_detaillee,compilation_non_detaillee,Write a Fortran90 program that returns the sum of elements with at most two digits from the first k elements in the given non-empty array of integers.,,
123,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that returns a sorted array containing the odd numbers present in the Collatz sequence of a given positive integer.,,
124,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that validates a given date string in the format mm-dd-yyyy and returns true if the date is valid, otherwise false.",,
125,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that, given a string of words, splits it based on whitespace; if no whitespace exists, split on commas; if no commas exist, return the count of lower-case letters with an odd order in the alphabet.",,
126,echec_persistant,ineq,runtime_err,ineq -> runtime_err,sortie_incorrecte,runtime_non_detaillee,"Write a Fortran90 program that checks if a given array of integers is sorted in ascending order and returns false if any number appears more than once, otherwise true.",,
127,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that, given two closed intervals represented by a pair of integers each, determines whether the length of their intersection is a prime number. Return ""YES"" if prime, otherwise ""NO"". If the intervals do not intersect, return ""NO"".",,
128,regression,ok,ineq,ok -> ineq,aucune,sortie_incorrecte,"Write a Fortran90 program that returns the sum of magnitudes of the integers in a given array multiplied by the product of their signs. If the array is empty, return None.",,
129,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that finds the minimum path of length k in a given square grid of integers, where each cell is unique and adjacent moves are allowed.",,
130,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,Write a Fortran90 program that returns an array of the first n+1 numbers of the Tribonacci sequence.,,
131,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that, given a positive integer n, returns the product of the odd digits. Return 0 if all digits are even.",,
132,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,Write a Fortran90 program that takes a string containing only square brackets and returns a logical value indicating if there is a valid subsequence of brackets with at least one nested bracket.,,
133,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that, given an array of numbers, returns the sum of the squares of the numbers after rounding each element to the upper integer (ceiling).",,
134,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,Write a Fortran90 program that returns a logical value indicating if the last character of a given string is an alphabetical character and not part of a word.,,
135,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that returns the largest index of an element in an array which is not greater than or equal to the element immediately preceding it, or -1 if no such element exists.",,
136,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that returns a pair (a, b) where a is the largest negative integer and b is the smallest positive integer in an array. If there is no such negative or positive integer, return None for that element.",,
137,echec_persistant,ineq,compile_err,ineq -> compile_err,sortie_incorrecte,compilation_non_detaillee,"Write a Fortran90 program that takes two inputs (which can be integers, floats, or strings representing real numbers) and returns the larger one in its original type, or None if they are equal.",,
138,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that evaluates whether the given integer n can be written as the sum of exactly 4 positive even numbers.,,
139,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that, given a positive integer n, returns the Brazilian factorial defined as n! * (n-1)! * ... * 1!.",,
140,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that given a string text, replaces all spaces with underscores, and if the string has more than 2 consecutive spaces then replaces all consecutive spaces with a hyphen.",,
141,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,Write a Fortran90 program that takes a string representing a file's name and returns 'Yes' if the file name is valid and 'No' otherwise according to the given conditions.,,
142,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that takes an array of integers, squares the integer if its index is a multiple of 3, cubes it if its index is a multiple of 4 and not a multiple of 3, leaves the rest unchanged, and returns the sum of all entries.",,
143,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that takes a string representing a sentence and returns a string containing the words from the original sentence whose lengths are prime numbers, preserving the original order.",,
144,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that takes two strings representing fractions in the format numerator/denominator and returns true if the product of these fractions is a whole number, and false otherwise.",,
145,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that takes an array of integers and sorts it in ascending order based on the sum of their digits, while preserving the original order for numbers with equal digit-sums.",,
146,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that takes an array of numbers and returns the count of elements that are greater than 10 and have both the first and last digits odd.,,
