model_key,num_cases,compiled_ok,compiled_failed,top_ft_status,top_refined_primary,refined_primary_counts
ft_AC_antineighbor_humaneval_mistral_conc3,19,11,8,ineq:9,compiled_but_wrong_answer:9,"{""compiled_but_wrong_answer"": 9, ""compiled_but_runtime_error"": 2, ""undeclared_variable"": 2, ""intent_in_modified"": 2, ""declaration_after_executable"": 1, ""empty_code_or_no_program"": 1, ""invalid_operator_or_expression"": 1, ""assumed_length_character_local"": 1}"
ft_A_half1_humaneval_mistral_conc20,19,10,9,compile_err:8,compiled_ok_other_failure:5,"{""compiled_ok_other_failure"": 5, ""compiled_but_wrong_answer"": 3, ""compiled_but_runtime_error"": 2, ""intent_in_modified"": 2, ""compile_other"": 2, ""invalid_operator_or_expression"": 2, ""assumed_length_character_local"": 1, ""undeclared_variable"": 1, ""allocatable_or_shape_error"": 1}"
ft_A_humaneval_mistral_conc20,19,13,6,ok:7,compiled_ok_other_failure:7,"{""compiled_ok_other_failure"": 7, ""compiled_but_wrong_answer"": 5, ""undeclared_variable"": 2, ""compiled_but_runtime_error"": 1, ""invalid_operator_or_expression"": 1, ""assumed_length_character_local"": 1, ""intent_in_modified"": 1, ""empty_code_or_no_program"": 1}"
ft_C_humaneval_mistral_conc3,19,7,12,compile_err:12,compiled_but_runtime_error:4,"{""compiled_but_runtime_error"": 4, ""intent_in_modified"": 3, ""compiled_but_wrong_answer"": 3, ""assumed_length_character_local"": 2, ""undeclared_variable"": 2, ""declaration_after_executable"": 1, ""empty_code_or_no_program"": 1, ""invalid_operator_or_expression"": 1, ""print_parentheses_syntax"": 1, ""syntax_error_other"": 1}"
ft_ABC_dedup_BC_humaneval_mistral_conc20,18,11,7,ineq:7,compiled_but_wrong_answer:7,"{""compiled_but_wrong_answer"": 7, ""intent_in_modified"": 5, ""compiled_ok_other_failure"": 4, ""invalid_operator_or_expression"": 1, ""undeclared_variable"": 1}"
ft_AB_antineighbor_humaneval_mistral_conc20,18,7,11,compile_err:11,intent_in_modified:4,"{""intent_in_modified"": 4, ""undeclared_variable"": 4, ""compiled_but_wrong_answer"": 3, ""compiled_ok_other_failure"": 3, ""declaration_after_executable"": 1, ""invalid_operator_or_expression"": 1, ""assumed_length_character_local"": 1, ""compiled_but_runtime_error"": 1}"
ft_AC_shuffle_humaneval_mistral_conc3,18,7,11,compile_err:11,intent_in_modified:7,"{""intent_in_modified"": 7, ""compiled_but_wrong_answer"": 6, ""undeclared_variable"": 3, ""invalid_operator_or_expression"": 1, ""compiled_but_runtime_error"": 1}"
ft_ABC_source_stack_v2_humaneval_mistral_conc20,17,13,4,ineq:11,compiled_but_wrong_answer:11,"{""compiled_but_wrong_answer"": 11, ""compiled_ok_other_failure"": 2, ""undeclared_variable"": 1, ""invalid_operator_or_expression"": 1, ""intent_in_modified"": 1, ""allocatable_or_shape_error"": 1}"
ft_C_humaneval_mistral_conc20,17,10,7,compile_err:7,compiled_but_wrong_answer:4,"{""compiled_but_wrong_answer"": 4, ""intent_in_modified"": 3, ""compiled_but_runtime_error"": 3, ""compiled_ok_other_failure"": 3, ""assumed_length_character_local"": 2, ""undeclared_variable"": 1, ""compile_other"": 1}"
ft_ABC_source_stack_v1_humaneval_mistral_conc20,16,10,6,ok:6,compiled_ok_other_failure:6,"{""compiled_ok_other_failure"": 6, ""undeclared_variable"": 4, ""compiled_but_wrong_answer"": 3, ""compile_other"": 1, ""intent_in_modified"": 1, ""compiled_but_runtime_error"": 1}"
ft_AB_shuffle_humaneval_mistral_conc20,16,11,5,ok:5,compiled_ok_other_failure:5,"{""compiled_ok_other_failure"": 5, ""compiled_but_wrong_answer"": 4, ""compiled_but_evaluator_exception"": 1, ""assumed_length_character_local"": 1, ""compiled_but_runtime_error"": 1, ""undeclared_variable"": 1, ""compile_other"": 1, ""intent_in_modified"": 1, ""type_mismatch_or_intrinsic_misuse"": 1}"
ft_AB_shuffle_humaneval_mistral_conc3,15,4,11,compile_err:11,undeclared_variable:5,"{""undeclared_variable"": 5, ""compiled_but_wrong_answer"": 3, ""intent_in_modified"": 3, ""invalid_operator_or_expression"": 1, ""compiled_but_evaluator_exception"": 1, ""assumed_length_character_local"": 1, ""type_mismatch_or_intrinsic_misuse"": 1}"
ft_A_ep2_humaneval_mistral_conc20,15,3,12,compile_err:12,undeclared_variable:6,"{""undeclared_variable"": 6, ""intent_in_modified"": 3, ""compiled_but_wrong_answer"": 3, ""invalid_operator_or_expression"": 1, ""assumed_length_character_local"": 1, ""declaration_after_executable"": 1}"
ft_B_humaneval_mistral_conc3,15,5,10,compile_err:9,syntax_error_other:4,"{""syntax_error_other"": 4, ""compiled_but_wrong_answer"": 4, ""compile_other"": 2, ""assumed_length_character_local"": 2, ""compiled_but_runtime_error"": 1, ""type_mismatch_or_intrinsic_misuse"": 1, ""intent_in_modified"": 1}"
ft_ABC_source_burkardt_humaneval_mistral_conc20,14,11,3,ok:4,compiled_ok_other_failure:4,"{""compiled_ok_other_failure"": 4, ""compiled_but_wrong_answer"": 4, ""compiled_but_runtime_error"": 2, ""intent_in_modified"": 2, ""invalid_operator_or_expression"": 1, ""compiled_but_evaluator_exception"": 1}"
ft_ABC_source_numerical_methods_humaneval_mistral_conc20,9,7,2,ok:4,compiled_ok_other_failure:4,"{""compiled_ok_other_failure"": 4, ""undeclared_variable"": 1, ""compiled_but_runtime_error"": 1, ""compiled_but_evaluator_exception"": 1, ""intent_in_modified"": 1, ""compiled_but_wrong_answer"": 1}"
ft_ABC_source_fortran_lang_humaneval_mistral_conc20,8,6,2,runtime_err:3,compiled_but_runtime_error:3,"{""compiled_but_runtime_error"": 3, ""compiled_ok_other_failure"": 2, ""compiled_but_wrong_answer"": 1, ""type_mismatch_or_intrinsic_misuse"": 1, ""intent_in_modified"": 1}"
